Episode,Terminal State,Reward,Running Average
369,4 4,STEPS,-1019,250978.2493224932
370,3 1,GOAL,999999,253002.62972972973
371,1 3,STEPS,-1019,252317.93530997305
372,5 3,STEPS,-1019,251636.92204301077
373,2 2,GOAL,1000000,253643.25737265416
374,3 1,GOAL,999999,255638.86096256683
375,3 4,STEPS,-1019,254954.44
376,2 3,STEPS,-1019,254273.6595744681
377,4 5,BOUNDARY,-2009,253593.8647214854
378,2 1,BOUNDARY,-2002,252917.6851851852
379,4 1,STEPS,-1019,252247.66754617414
380,2 3,STEPS,-1019,251581.17631578946
381,4 5,STEPS,-1019,250918.18372703413
382,1 1,GOAL,999981,252879.08115183245
383,1 4,STEPS,-1019,252216.16187989558
384,2 5,STEPS,-1019,251556.6953125
385,3 1,GOAL,999999,253500.7012987013
386,4 3,STEPS,-1019,252841.3238341969
387,5 5,STEPS,-1019,252185.35400516796
388,2 2,GOAL,1000000,254112.71134020618
389,3 4,STEPS,-1019,253456.84575835476
390,2 3,STEPS,-1019,252804.3435897436
391,2 5,STEPS,-1019,252155.179028133
392,3 4,STEPS,-1019,251509.32653061225
393,2 5,BOUNDARY,-2014,250864.22900763358
394,3 3,STEPS,-1019,250224.93147208123
395,4 3,STEPS,-1019,249588.87088607595
396,1 3,STEPS,-1019,248956.02272727274
397,2 1,GOAL,999998,250847.8161209068
398,2 1,GOAL,999998,252730.10301507538
399,4 3,STEPS,-1019,252094.1403508772
400,5 1,GOAL,999995,253963.8925
401,2 3,BOUNDARY,-2019,253325.53117206984
402,1 5,BOUNDARY,-2006,252690.37810945272
403,2 3,STEPS,-1019,252060.82630272952
404,2 4,STEPS,-1019,251434.39108910892
405,4 4,BOUNDARY,-2014,250808.59259259258
406,4 4,BOUNDARY,-2004,250185.90147783252
407,2 4,BOUNDARY,-2004,249566.27027027027
408,3 2,GOAL,1000000,251405.568627451
409,2 3,BOUNDARY,-2011,250785.96821515894
410,5 2,BOUNDARY,-2009,250169.3951219512
411,4 4,BOUNDARY,-2008,249555.82481751824
412,4 1,GOAL,999998,251377.28640776698
413,3 5,BOUNDARY,-2011,250763.7554479419
414,1 4,BOUNDARY,-2012,250153.18599033816
415,2 5,STEPS,-1019,249547.9518072289
416,1 1,GOAL,999999,251351.92067307694
417,5 1,GOAL,999997,253147.23261390888
418,1 1,GOAL,999999,254933.95933014355
419,3 1,GOAL,999999,256712.15751789976
420,2 4,STEPS,-1019,256098.5119047619
421,1 2,GOAL,1000000,257865.49881235155
422,1 1,GOAL,999999,259624.10900473932
423,2 3,STEPS,-1019,259007.9314420804
424,1 1,GOAL,999997,260755.54716981133
425,3 4,STEPS,-1019,260139.60705882352
426,1 5,STEPS,-1019,259526.558685446
427,2 1,GOAL,999998,261260.6838407494
428,2 4,STEPS,-1019,260647.88084112148
429,5 2,GOAL,999998,262371.3076923077
430,4 3,STEPS,-1019,261758.77209302326
431,2 5,BOUNDARY,-2002,261146.7981438515
432,2 2,GOAL,1000000,262857.10648148146
433,3 2,GOAL,1000000,264559.51501154737
434,5 2,GOAL,999998,266254.0737327189
435,2 2,GOAL,1000000,267940.8459770115
436,2 2,GOAL,1000000,269619.88073394494
437,5 4,STEPS,-1019,269000.56979405036
438,3 3,STEPS,-1019,268384.0867579909
439,4 5,STEPS,-1019,267770.4123006834
440,2 4,STEPS,-1019,267159.5272727273
441,2 1,BOUNDARY,-2002,266549.1836734694
442,2 5,STEPS,-1019,265943.8257918552
443,5 5,STEPS,-1019,265341.20090293454
444,2 2,GOAL,1000000,266995.8378378378
445,3 5,STEPS,-1019,266393.5573033708
446,5 4,STEPS,-1019,265793.9775784753
447,1 3,STEPS,-1019,265197.0805369128
448,1 2,GOAL,1000000,266837.265625
449,3 5,STEPS,-1019,266240.70378619153
450,4 4,STEPS,-1019,265646.79333333333
451,4 2,GOAL,999999,267275.0687361419
452,2 2,GOAL,1000000,268896.14159292035
453,3 4,STEPS,-1019,268300.3024282561
454,1 5,BOUNDARY,-2008,267704.90969162993
455,5 5,STEPS,-1019,267114.3076923077
456,3 2,GOAL,1000000,268721.5131578947
457,5 4,STEPS,-1019,268131.27133479214
458,2 1,GOAL,1000000,269729.23799126636
459,2 2,GOAL,1000000,271320.2418300654
460,4 2,GOAL,999999,272904.32608695654
461,3 1,GOAL,999999,274481.5379609544
462,2 5,STEPS,-1019,273885.2164502164
463,1 1,GOAL,999991,275453.4794816415
464,1 4,STEPS,-1019,274857.6336206897
465,4 1,GOAL,999994,276417.06666666665
466,2 1,GOAL,999992,277969.8025751073
467,1 3,STEPS,-1019,277372.39614561026
468,4 1,GOAL,999998,278916.46794871794
469,1 3,STEPS,-1019,278319.59061833686
470,1 4,STEPS,-1019,277725.2531914894
471,1 4,STEPS,-1019,277133.43949044583
472,4 1,GOAL,999996,278664.9279661017
473,3 2,GOAL,1000000,280189.9492600423
474,3 4,STEPS,-1019,279596.68143459916
475,5 3,STEPS,-1019,279005.9115789474
476,1 1,GOAL,999999,280520.60294117645
477,2 5,STEPS,-1019,279930.37316561845
478,4 1,GOAL,999998,281436.7907949791
479,5 5,BOUNDARY,-2011,280845.04175365344
480,3 4,STEPS,-1019,280257.825
481,1 1,GOAL,999999,281754.1683991684
482,2 4,STEPS,-1019,281167.5020746888
483,1 5,STEPS,-1019,280583.26501035196
484,2 2,GOAL,1000000,282069.6632231405
485,4 3,STEPS,-1019,281485.975257732
486,3 1,GOAL,999999,282964.3971193416
487,4 1,STEPS,-1019,282381.26899383985
488,4 1,STEPS,-1019,281800.53073770495
489,2 4,STEPS,-1019,281222.16768916155
490,2 2,GOAL,1000000,282689.0612244898
491,4 2,STEPS,-1019,282111.24439918535
492,5 2,STEPS,-1019,281535.77642276423
493,2 2,GOAL,1000000,282993.107505071
494,3 4,BOUNDARY,-2013,282416.17206477735
495,1 3,BOUNDARY,-2006,281841.58181818185
496,1 5,STEPS,-1019,281271.2983870968
497,2 2,GOAL,1000000,282717.4325955734
498,2 4,BOUNDARY,-2017,282145.6767068273
499,2 2,GOAL,1000000,283584.2625250501
500,1 2,GOAL,1000000,285017.094
501,2 3,STEPS,-1019,284446.1636726547
502,2 3,STEPS,-1019,283877.5079681275
503,1 4,STEPS,-1019,283311.1133200795
504,2 4,STEPS,-1019,282746.96626984124
505,5 1,STEPS,-1019,282185.0534653465
506,1 1,GOAL,999999,283603.6581027668
507,3 1,STEPS,-1019,283042.2721893491
508,3 5,BOUNDARY,-2014,282481.1377952756
509,2 4,STEPS,-1019,281924.16306483303
510,3 1,STEPS,-1019,281369.3725490196
511,3 2,GOAL,1000000,282775.69471624267
512,3 2,STEPS,-1019,282221.408203125
513,2 3,STEPS,-1019,281669.28265107214
514,5 5,STEPS,-1019,281119.3054474708
515,5 4,STEPS,-1019,280571.4640776699
516,1 5,STEPS,-1019,280025.746124031
517,5 1,GOAL,999997,281418.3404255319
518,5 4,STEPS,-1019,280873.0945945946
519,5 5,STEPS,-1019,280329.94990366086
520,1 2,GOAL,1000000,281713.93076923076
521,5 5,STEPS,-1019,281171.2571976967
522,1 1,GOAL,999999,282548.3218390805
523,1 1,GOAL,999999,283920.12045889103
524,2 4,STEPS,-1019,283376.3435114504
525,4 2,GOAL,999999,284741.339047619
526,4 1,GOAL,999998,286101.1425855513
527,2 3,STEPS,-1019,285556.32258064515
528,4 1,GOAL,999998,286909.4318181818
529,4 4,STEPS,-1019,286365.1436672968
