Episode,Terminal State,Reward,Running Average
552,GOAL,999998,771280.4927536232
553,GOAL,999995,771694.0813743218
554,GOAL,999997,772106.1805054152
555,GOAL,999998,772516.7963963964
556,GOAL,999998,772925.9352517986
557,GOAL,999998,773333.60502693
558,GOAL,999996,773739.8100358422
559,GOAL,1000000,774144.5688729875
560,GOAL,999995,774547.8732142857
561,GOAL,999998,774949.7450980392
562,BOUNDARY,-2000,773567.2722419929
563,GOAL,1000000,773969.461811723
564,GOAL,1000000,774370.2251773049
565,GOAL,999999,774769.5681415929
566,GOAL,999996,775167.4946996466
567,GOAL,1000000,775564.024691358
568,GOAL,999998,775959.1549295775
569,GOAL,999995,776352.8910369069
570,GOAL,999995,776745.245614035
571,GOAL,999992,777136.2206654991
572,GOAL,999991,777525.8269230769
573,GOAL,999998,777914.0855148342
574,GOAL,999995,778300.9860627177
575,GOAL,999995,778686.5408695652
576,GOAL,999999,779070.7638888889
577,GOAL,999999,779453.6551126516
578,GOAL,999998,779835.2197231834
579,GOAL,999999,780215.4680483593
580,GOAL,999998,780594.4034482759
581,GOAL,999998,780972.0344234079
582,GOAL,999997,781348.3659793815
583,GOAL,999998,781723.4082332761
584,BOUNDARY,-2000,780381.4160958905
585,GOAL,999997,780756.8273504274
586,GOAL,999999,781130.9607508533
587,GOAL,1000000,781503.8211243611
588,GOAL,999999,781875.4115646258
589,BOUNDARY,-2000,780544.5534804753
590,GOAL,999998,780916.5084745763
591,GOAL,999999,781287.20642978
592,GOAL,999999,781656.652027027
593,GOAL,1000000,782024.8532883642
594,GOAL,999998,782391.8114478114
595,GOAL,999999,782757.537815126
596,GOAL,999999,783122.0369127517
597,GOAL,999997,783485.311557789
598,GOAL,999997,783847.3712374582
599,GOAL,999999,784208.225375626
600,GOAL,999998,784567.875
601,GOAL,999998,784926.3277870216
602,GOAL,999995,785283.5847176079
603,GOAL,999998,785639.6616915422
604,GOAL,999998,785994.559602649
605,GOAL,999999,786348.2859504132
606,GOAL,999996,786700.8399339934
607,GOAL,999998,787052.2355848434
608,GOAL,1000000,787402.478618421
609,GOAL,1000000,787751.5714285715
610,GOAL,999997,788099.5147540984
611,GOAL,999998,788446.3207855974
612,GOAL,999998,788791.9934640523
613,GOAL,999997,789136.5367047308
614,GOAL,999999,789479.9609120521
615,GOAL,999997,789822.2650406504
616,GOAL,999999,790163.4610389611
617,GOAL,999997,790503.5478119935
618,GOAL,999998,790842.5355987055
619,GOAL,999999,791180.4297253635
620,GOAL,1000000,791517.235483871
621,GOAL,999999,791852.9549114332
622,GOAL,999997,792187.5916398714
623,GOAL,999998,792521.1556982343
624,GOAL,999998,792853.6506410256
625,GOAL,999999,793185.0832
626,GOAL,1000000,793515.4584664537
627,GOAL,999998,793844.7767145135
628,GOAL,999998,794173.0461783439
629,GOAL,999998,794500.2718600954
630,GOAL,999999,794826.4603174604
631,GOAL,999999,795151.614896989
632,GOAL,999999,795475.7405063291
633,GOAL,999997,795798.8388625593
634,GOAL,999997,796120.9179810726
635,GOAL,999998,796441.9842519684
636,GOAL,999999,796762.0424528302
637,GOAL,999997,797081.092621664
638,GOAL,999997,797399.1426332288
639,GOAL,999999,797716.2003129891
640,GOAL,1000000,798032.26875
641,GOAL,999998,798347.3478939157
642,GOAL,999999,798661.4470404985
643,GOAL,999996,798974.5645412131
644,GOAL,999997,799286.7111801242
645,GOAL,999998,799597.8914728683
646,GOAL,999998,799908.1083591331
647,GOAL,999998,800217.3663060279
648,GOAL,1000000,800525.6728395062
649,GOAL,999997,800833.0246533128
650,GOAL,999998,801139.4323076924
651,GOAL,999998,801444.8986175115
652,GOAL,999998,801749.4279141105
653,GOAL,999999,802053.0260336907
654,GOAL,999996,802355.6911314984
655,GOAL,999998,802657.4351145038
656,GOAL,999998,802958.2591463415
657,GOAL,999997,803258.1659056316
658,GOAL,1000000,803557.1656534955
659,GOAL,999997,803855.2534142641
660,GOAL,999998,804152.4393939395
661,GOAL,999997,804448.7246596067
662,BOUNDARY,-2000,803230.5241691843
663,GOAL,999997,803527.3061840121
664,GOAL,999997,803823.1942771084
665,GOAL,999999,804118.1954887218
666,GOAL,999998,804412.3093093093
667,GOAL,999998,804705.5412293853
668,GOAL,999998,804997.8952095809
669,GOAL,999999,805289.3766816143
670,GOAL,999997,805579.9850746269
671,GOAL,999998,805869.7287630403
672,GOAL,1000000,806158.6130952381
673,GOAL,999998,806446.6359583952
674,GOAL,999998,806733.8041543027
675,GOAL,999997,807020.12
676,GOAL,999997,807305.5887573964
677,GOAL,999996,807590.2127031019
678,GOAL,999999,807874.0014749262
679,GOAL,999997,808156.9513991163
680,GOAL,999999,808439.0720588235
681,GOAL,999998,808720.3627019089
682,GOAL,999998,809000.8284457478
683,GOAL,999998,809280.4729136165
684,GOAL,999996,809559.2967836257
685,GOAL,999997,809837.308029197
686,GOAL,999999,810114.5116618075
687,GOAL,999998,810390.9068413392
688,GOAL,999998,810666.4985465116
689,GOAL,999997,810941.2888243832
690,GOAL,999996,811215.2811594203
691,GOAL,1000000,811488.4862518089
692,GOAL,999997,811760.8973988439
693,BOUNDARY,-2004,810586.6334776335
694,GOAL,999997,810859.5590778098
695,GOAL,999999,811131.7021582734
696,GOAL,999998,811403.0617816092
697,GOAL,999997,811673.6413199427
698,GOAL,999997,811943.4455587392
699,GOAL,999998,812212.4792560801
700,GOAL,999998,812480.7442857142
701,GOAL,999998,812748.2439372325
702,GOAL,999997,813014.98005698
703,GOAL,999998,813280.9587482219
704,GOAL,999998,813546.1818181818
705,GOAL,999998,813810.6524822694
706,GOAL,999997,814074.3725212464
707,GOAL,999998,814337.3479490806
708,GOAL,999997,814599.5790960452
709,GOAL,999998,814861.0719322991
710,GOAL,1000000,815121.8309859155
711,GOAL,999998,815381.8537271449
712,GOAL,999997,815641.1446629213
713,GOAL,999999,815899.7110799439
714,GOAL,999998,816157.5518207283
715,GOAL,999999,816414.6727272727
716,GOAL,999998,816671.0740223464
717,GOAL,999999,816926.7615062762
718,GOAL,999999,817181.7367688023
719,GOAL,999998,817436.0013908206
720,GOAL,999998,817689.5597222223
721,GOAL,999997,817942.4133148405
