Episode,Terminal State,Reward,Running Average
467,1 1,GOAL,999993,759713.4753747323
468,3 3,GOAL,999981,760226.8675213675
469,3 3,GOAL,999991,760738.0916844349
470,1 1,GOAL,999999,761247.1574468085
471,4 1,GOAL,999998,761754.059447983
472,7 3,STEPS,-1019,760138.0148305085
473,8 6,GOAL,999981,760645.0824524313
474,1 9,STEPS,-1019,759038.1962025317
475,5 5,GOAL,999987,759545.4568421053
476,7 7,GOAL,999991,760050.5945378151
477,1 4,GOAL,999998,760553.6289308176
478,7 6,BOUNDARY,-2010,758958.3075313808
479,1 6,GOAL,999994,759461.5135699373
480,10 10,STEPS,-1019,757877.1791666667
481,7 6,GOAL,999990,758380.5322245322
482,7 9,GOAL,999987,758881.7904564316
483,3 4,GOAL,999998,759380.9958592133
484,8 6,GOAL,999991,759878.1239669422
485,6 6,GOAL,999991,760373.2020618557
486,7 1,GOAL,999993,760866.2469135802
487,10 9,GOAL,999984,761357.2484599589
488,2 3,GOAL,1000000,761846.2704918033
489,9 2,GOAL,999994,762333.2801635992
490,8 9,GOAL,999988,762818.2897959184
491,5 5,GOAL,999995,763301.3380855398
492,7 3,GOAL,999995,763782.4227642276
493,10 4,GOAL,999991,764261.5476673428
494,3 10,GOAL,999992,764738.7348178137
495,8 5,GOAL,999992,765213.9939393939
496,7 9,GOAL,999989,765687.3306451613
497,9 6,GOAL,999990,766158.7645875252
498,1 5,GOAL,999997,766628.3192771084
499,5 10,GOAL,999990,767095.9779559118
500,3 9,GOAL,999993,767561.772
501,1 4,GOAL,999988,768025.6966067865
502,7 2,GOAL,999996,768487.7888446215
503,9 5,GOAL,999991,768948.0337972167
504,9 9,GOAL,999987,769406.4444444445
505,2 8,GOAL,999993,769863.0514851485
506,9 2,GOAL,999994,770317.8557312253
507,6 9,GOAL,999990,770770.8579881657
508,9 2,GOAL,999994,771222.0846456693
509,7 4,GOAL,999994,771671.5383104126
510,3 6,GOAL,999996,772119.2333333333
511,6 2,GOAL,999997,772565.1780821917
512,9 6,GOAL,999990,773009.3671875
513,2 7,GOAL,999994,773451.8323586745
514,6 3,GOAL,999996,773892.579766537
515,4 5,GOAL,999996,774331.6155339805
516,7 3,GOAL,999995,774768.9476744186
517,5 4,GOAL,999996,775204.5899419729
518,6 10,GOAL,999989,775638.5366795367
519,6 7,GOAL,999992,776070.816955684
520,9 4,GOAL,999992,776501.4346153847
521,1 3,GOAL,999999,776930.4126679463
522,4 4,GOAL,999997,777357.7432950191
523,7 8,GOAL,999988,777783.4225621414
524,10 3,GOAL,999992,778207.4847328244
525,5 6,GOAL,999994,778629.9352380952
526,6 8,GOAL,999989,779050.7699619771
527,7 5,GOAL,999989,779470.0075901329
528,5 4,GOAL,999996,779887.6704545454
529,1 9,GOAL,999989,780303.7410207939
530,8 3,GOAL,999994,780718.2509433962
531,8 7,GOAL,999988,781131.1883239171
532,6 4,GOAL,999995,781542.5864661654
533,7 2,GOAL,999996,781952.4427767354
534,7 6,GOAL,999990,782360.7528089888
535,3 5,GOAL,999995,782767.5457943925
536,3 9,GOAL,999993,783172.817164179
537,1 6,GOAL,999994,783576.5810055865
538,4 9,GOAL,999982,783978.8215613383
539,4 1,GOAL,999994,784379.5918367347
540,1 2,GOAL,1000000,784778.8888888889
541,8 3,GOAL,999994,785176.6987060998
542,10 9,GOAL,999982,785573.0184501845
543,2 8,GOAL,999993,785967.8987108655
544,8 9,GOAL,999986,786361.3143382353
545,4 7,GOAL,999994,786753.3009174312
546,3 9,GOAL,999991,787143.8461538461
547,5 5,GOAL,999995,787532.9707495429
548,5 9,GOAL,999991,787920.6678832116
549,8 1,GOAL,999988,788306.9471766849
550,8 1,GOAL,999990,788691.8254545454
551,1 3,GOAL,999999,789075.3230490019
552,10 1,GOAL,999982,789457.4003623188
553,8 1,STEPS,-1019,788027.9674502712
554,8 6,GOAL,999991,788410.5722021661
555,1 2,GOAL,1000000,788791.8144144145
556,4 4,GOAL,999997,789171.6798561151
557,6 6,GOAL,999993,789550.1741472172
558,9 5,GOAL,999989,789927.3046594982
559,2 6,GOAL,999993,790303.0930232558
560,1 8,GOAL,999992,790677.5375
561,6 9,GOAL,999990,791050.6434937612
562,5 7,GOAL,999993,791422.4270462634
563,7 1,GOAL,999989,791792.8827708703
564,2 5,GOAL,999994,792162.0336879432
565,9 8,GOAL,999988,792529.8672566372
566,5 9,GOAL,999987,792896.3992932863
567,5 6,GOAL,999992,793261.6472663139
568,3 9,GOAL,999989,793625.6038732395
569,6 5,GOAL,999990,793988.2829525484
570,6 3,GOAL,999996,794349.7
571,7 6,GOAL,999990,794709.8406304729
572,9 5,GOAL,999991,795068.7237762237
573,7 5,GOAL,999993,795426.3577661432
574,10 4,GOAL,999991,795782.7421602787
575,2 3,GOAL,999998,796137.8991304347
576,3 5,GOAL,999997,796491.8211805555
577,10 2,GOAL,999993,796844.5095320623
578,4 3,GOAL,999996,797195.982698962
579,1 2,GOAL,999992,797546.2348877374
580,9 4,GOAL,999992,797895.2793103448
581,3 7,GOAL,999995,798243.1273666093
582,4 7,GOAL,999994,798589.7783505154
583,6 5,GOAL,999994,798935.2401372213
584,7 7,GOAL,999991,799279.5136986302
585,5 2,GOAL,999998,799622.6222222223
586,10 10,GOAL,999985,799964.5375426621
587,5 2,GOAL,999998,800305.3100511073
588,2 10,GOAL,999993,800644.9149659864
589,4 7,GOAL,999994,800983.3684210526
590,7 5,GOAL,999993,801320.672881356
591,3 7,GOAL,999995,801656.8392554992
592,1 6,GOAL,999990,801991.8614864865
593,4 4,GOAL,999997,802325.7655986509
594,2 7,GOAL,999996,802658.5437710438
595,2 7,GOAL,999996,802990.2033613445
